element_id	longitude_deg	latitude_deg	depth_m	strike_deg	dip_deg	strike_slip_m	dip_slip_m	area_m2	shear_modulus_pa
1	96.4228943954738	18.2843767858575	-410.433854313207	168.908020596758	70.4965184451373	-0.991458318924934	0.12029927838704	3329755.56342324	6468753369.65997
2	96.4245714492232	18.2691141881843	-820.867708626414	168.105871321366	68.5960228504503	-0.63049064321693	0.102546916387161	3333210.5302134	6721300583.88942
3	96.4140556005596	18.3301716766536	-410.433854313207	169.104387353104	70.8714166573406	-1.25063381623171	0.14241865799462	3337684.21147082	6468753369.65997
4	96.4157187122799	18.3149092376314	-820.867708626414	168.983888112711	69.8541704241944	-0.991458318924934	0.12029927838704	3329925.05102411	6721300583.88942
5	96.4048582898069	18.3759666779641	-410.433854313207	168.429716032295	71.8993611147751	-1.26977584983314	0.161026241542721	3288058.40994873	6468753369.65997
6	96.4068349568493	18.3607037866176	-820.867708626414	168.634369790722	71.7527562356335	-1.25063381623171	0.14241865799462	3340179.30291963	6721300583.88942
7	96.3951962346252	18.4217619318502	-410.433854313207	168.387901309776	74.3232362684598	-1.16710560777485	0.177695746410324	3225434.44248303	6468753369.65997
8	96.3975786984596	18.4064984526942	-820.867708626414	168.577225156386	73.7393676915744	-1.26977584983314	0.161026241542721	3277314.94801545	6721300583.88942
9	96.3858984045066	18.4675559018553	-410.433854313207	169.38840881957	79.2462290102848	-1.08618035384134	0.197642357352521	3196807.66487473	6468753369.65997
10	96.3883062856268	18.4522925471424	-820.867708626414	169.417658373618	78.2690844374	-1.16710560777485	0.177695746410324	3205832.9932166	6721300583.88942
11	96.3775313972854	18.5133476534795	-410.433854313207	169.351416671772	79.8265466903028	-1.22946390184872	0.213825831025328	3203308.87308778	6468753369.65997
12	96.3796433418047	18.4980849756712	-820.867708626414	169.776236960827	80.4685202951118	-1.08618035384134	0.197642357352521	3188466.68765679	6721300583.88942
13	96.3696844846553	18.5591379929716	-410.433854313207	170.27783164823	82.2249405490239	-1.54351535899229	0.22514593856817	3227922.02028113	6468753369.65997
14	96.3715679463029	18.5438758492516	-820.867708626414	170.155059443746	81.9471558484428	-1.22946390184872	0.213825831025328	3207332.28880173	6721300583.88942
15	96.3617427076404	18.6049279957632	-410.433854313207	170.190568333487	80.5687685627471	-1.92425949720858	0.226822797281591	3246306.63396439	6468753369.65997
16	96.3635667367953	18.5896660887966	-820.867708626414	170.173330328289	81.2563714764201	-1.54351535899229	0.22514593856817	3234199.35082491	6721300583.88942
17	96.3534374048129	18.6507180821391	-410.433854313207	169.516513873573	78.1556885747042	-2.53646931470549	0.220799136921585	3255277.83920666	6468753369.65997
18	96.3553314182341	18.6354562009993	-820.867708626414	169.869684786829	79.4360080466668	-1.92425949720858	0.226822797281591	3252009.63148612	6721300583.88942
19	96.3445871233824	18.6965084899124	-410.433854313207	168.805221814485	77.1938226741429	-3.00098475264278	0.217323202769098	3241013.3860255	6468753369.65997
20	96.3467336107981	18.6812463577388	-820.867708626414	169.270387856843	78.0639140553606	-2.53646931470549	0.220799136921585	3259854.36145849	6721300583.88942
21	96.3350022637606	18.7422994330726	-410.433854313207	168.529623187498	78.8673593246584	-3.24109639721546	0.222432453190438	3203827.58837014	6468753369.65997
22	96.3376759115607	18.7270366594842	-820.867708626414	168.715521575595	78.1120058760474	-3.00098475264278	0.217323202769098	3238529.28971285	6721300583.88942
23	96.3251922163421	18.7880900524658	-410.433854313207	168.839851976435	83.2693040592593	-3.39865950215874	0.225403746515231	3187451.77373262	6468753369.65997
24	96.3282118143253	18.7728269611244	-820.867708626414	168.892934020601	81.1550398778339	-3.24109639721546	0.222432453190438	3184093.28522195	6721300583.88942
25	96.3160230845644	18.8338790767883	-410.433854313207	169.781777072134	88.993006531627	-3.43445651930546	0.225013751459677	3179674.17059389	6468753369.65997
